Name,Wifi,Jacuzzi,Bar,Pool Inside,Break Fast,Spa,Gym,Air Conditioner,Synagogue,Parking,Beach,Room Service,Refrigerator,Sea View,Pet Friendly,Kids Room,Entertainment Staff,Events Hall,Taxi Service,Location,Rating
נווה כנרת,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5
נווה שלום מלון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נאות קמפינג,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נירוונה במדבר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
סחלב פראי,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
סנדרין,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
סטודיו אוסנתה,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
סטאי תל אביב,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,4.5
סהרה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ספא ביערות,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5
ספא הדרים,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,4.5
ספא האוס מלון בוטיק - ראשון לציון,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2.5
סוהו אילת,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,2
סוקולוב 35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5
"סוויטה רומנטית, קיסריה",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5
סוויטת ליבר חוף הים,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,3.5
סוויטות רויאלטי,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2.5
סוויטות המקום,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4.5
סוויטות על הים,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
סוויטות שמפיין צימרים,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.5
סוויטות לה פלמורה,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,3.5
סאנשיין סוויטות בוטיק,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
סאן אנד ויו,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
סלינה נווה צדק תל-אביב,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,3
סמדר חאן ויקב,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
סיטדל הוסטל,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
סיטי סנטר מלון דירות ירושלים,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
צריפי הקאמפינג של הילה,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
צדפת המדבר,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
צל האילן,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5
צליל החורש,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
צליל הטבע,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
ציור נוף,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5
צימר חוויה בנוף,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,4
צימר נוף להר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
צימר טוב באהבה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
צימר ענן,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
צימר שוורצימר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
צימר וסימפטיה לינה וארוחת בוקר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
צימר אחוזת קימונו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
צימר אודם השני,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
צימר אל גיא אוני ראש פינה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
צימר לשדות,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
צימרים נוף שדות,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,5
צימרים בלטרון שלווה במרכז,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
צימרים ארבלית,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4.5
צימרים לגעת בשמיים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
צימרים משק מוצ'ניק,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,5
צימרים ים כנרת,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.5
רפאל רזידנס ירושלים,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
רוזנה בית הארחה,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
רוח ים במכמורת,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
רוג'ום גסטהאוס Rujum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
רותמ'ס גסט האוס,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
רויאל ביץ' - אילת,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,4.5
רויאל פלאזה טבריה,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,3.5
ראסט הוטל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
ריץ קרלטון הרצליה,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,4.5
ריינס 5 תל אביב,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,4.5
טוביאנה עזוז צימר,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5
טאונהאוס רזידנס מבית מלונות בראון,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,3
טל בכנרת,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.5
בנחת רוח,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
בר בכפר,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5
ברכתא,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3.5
בראון ברוט - מבית מלונות בראון,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,4.5
בראון מחנה יהודה - מבית מלונות בראון,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,4
בת גליל - מתחם אירוח וילה וצימרים,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
בקתה בנוף,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5
בקתות סמדר בכליל,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4.5
בקתות העץ של אלקבץ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
בקתות האגם,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3.5
בקתות עץ טלון,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4
בוסתן בכפר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
בוטניקה חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
בואט האוס,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
בארות חאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
בן עמי - חווית אירוח וספא בגליל,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.5
בית צליינים אבונה פארג',1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5
בית בסלמה,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
בית בגבעה לינה וארוחת בוקר,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
בית בגליל,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
בית בעתיקה,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.5
"בית ההארחה ""י.מ.ק.א. פניאל""",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
בית ההארחה של סנט אנדרו,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4.5
בית הכנר,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5
בית העץ יוני,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
